ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Date_c,Year,Month,Day,Duration,month,year
AL051951,DOG,1951-09-01,1200,,TS,14.1,-56.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-01,1951,9,1,5,9,1951
AL051951,DOG,1951-09-01,1800,,TS,14.1,-57.3,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-01,1951,9,1,5,9,1951
AL051951,DOG,1951-09-02,0,,HU,14.1,-58.4,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-02,1951,9,2,5,9,1951
AL051951,DOG,1951-09-02,600,,HU,14.1,-59.7,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-02,1951,9,2,5,9,1951
AL051951,DOG,1951-09-02,1200,,HU,14.2,-61.1,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-02,1951,9,2,5,9,1951
AL051951,DOG,1951-09-02,1800,,HU,14.2,-62.7,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-02,1951,9,2,5,9,1951
AL051951,DOG,1951-09-03,0,,HU,14.3,-64.3,70,992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,5,9,1951
AL051951,DOG,1951-09-03,600,,HU,14.4,-65.8,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,5,9,1951
AL051951,DOG,1951-09-03,1200,,HU,14.6,-67.4,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,5,9,1951
AL051951,DOG,1951-09-03,1800,,HU,14.8,-69.4,70,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,5,9,1951
